Killeen,69,181540927,Evoker,Evoker-Devastation,13369866,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,2076452,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Owsianko,107,180528313,DeathKnight,DeathKnight-Unholy,19457850,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Grubi,75,180755381,Rogue,Rogue-Subtlety,13725788,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Bärman,77,181432362,Warrior,Warrior-Fury,12142069,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Pazuzell,73,140773839,DemonHunter,DemonHunter-Vengeance,9543012,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Peanutmage,114,180616658,Mage,Mage-Fire,13807814,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Shlauffu,88,182304349,Priest,Priest-Shadow,13116589,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Meeow,72,143983765,Druid,Druid-Feral,13250752,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Klejnotnilu,5,182929355,DeathKnight,DeathKnight-Blood,8384855,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Qquo,70,165177271,Priest,Priest-Shadow,12658416,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Gunqer,86,118902570,Druid,Druid-Restoration,1841856,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Màmbà,76,183169964,Paladin,Paladin-Holy,1932363,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Catherinee,103,180636202,Monk,Monk-Windwalker,11288183,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Prohus,78,181500240,Evoker,Evoker-Augmentation,16371587,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Cebulaczyna,156,121577266,Hunter,Hunter-Marksmanship,11924554,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Kryxoria,79,182687721,Priest,Priest-Holy,1196629,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Nugera,74,181593749,Evoker,Evoker-Augmentation,16752350,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Pepko,91,178016999,Paladin,Paladin-Retribution,13747763,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Arathil,81,150634218,Warlock,Warlock-Affliction,11488041,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Lefox,87,175528845,Shaman,Shaman-Restoration,1387514,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
Killeen,69,181540927,Evoker,Evoker-Devastation,12092926,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,3,False,28/09/23
