name,id,guid,type,icon,total,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
Catherinee,170,180636202,Monk,Monk-Windwalker,10662966,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Qquo,165,165177271,Priest,Priest-Shadow,10159834,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Lefox,198,175528845,Shaman,Shaman-Restoration,1497843,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Pazuzell,153,140773839,DemonHunter,DemonHunter-Vengeance,7086253,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Killeen,167,181540927,Evoker,Evoker-Devastation,13926563,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Pepko,197,178016999,Paladin,Paladin-Retribution,11152798,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Bärman,157,181432362,Warrior,Warrior-Fury,10094902,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Màmbà,192,183169964,Paladin,Paladin-Holy,2051335,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Grubi,164,180755381,Rogue,Rogue-Subtlety,11055920,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Peanutmage,166,180616658,Mage,Mage-Fire,12380002,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Klejnotnilu,159,182929355,DeathKnight,DeathKnight-Blood,7250252,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Nugera,203,181593749,Evoker,Evoker-Augmentation,17693814,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Owsianko,161,180528313,DeathKnight,DeathKnight-Unholy,17569391,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Arathil,154,150634218,Warlock,Warlock-Affliction,11299220,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Cebulaczyna,163,121577266,Hunter,Hunter-Marksmanship,10527678,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Prohus,160,181500240,Evoker,Evoker-Augmentation,14932817,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Shlauffu,200,182304349,Priest,Priest-Shadow,9583740,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Meeow,194,143983765,Druid,Druid-Feral,10605454,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Kryxoria,168,182687721,Priest,Priest-Holy,827724,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
Gunqer,253,118902570,Druid,Druid-Restoration,1195576,19,fVzjtxmbL8DYvhdW,2685,Scalecommander Sarkareth,5,3,False,27/09/23
