timestamp,type,targetName,targetId,targetGuid,targetIcon,abilityGameId,buffs,hitType,amount,mitigated,unmitigatedAmount,absorbed,targetMarker,pullId,pullCode,encounterId,encounterName,encounterDifficulty,wipeCutoff,encounterKill,encounterDate
4725568,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
4725568,applydebuffstack,Lefox,87,175528845,Shaman-Restoration,402051,,,,,,,,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
4738082,applydebuffstack,Nugera,74,181593749,Evoker-Augmentation,402051,,,,,,,,11,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
5186301,applydebuffstack,Kryxoria,79,182687721,Priest-Holy,402051,,,,,,,,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
5198864,applydebuffstack,Pepko,91,178016999,Paladin-Retribution,402051,,,,,,,,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
5198864,applydebuffstack,Owsianko,107,180528313,DeathKnight-Unholy,402051,,,,,,,,12,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
7657270,applydebuffstack,Prohus,78,181500240,Evoker-Augmentation,402051,,,,,,,,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
7657270,applydebuffstack,Kryxoria,79,182687721,Priest-Holy,402051,,,,,,,,15,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8126711,applydebuffstack,Qquo,70,165177271,Priest-Shadow,402051,,,,,,,,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8126711,applydebuffstack,Grubi,75,180755381,Rogue-Subtlety,402051,,,,,,,,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8126711,applydebuffstack,Killeen,69,181540927,Evoker-Devastation,402051,,,,,,,,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8126711,applydebuffstack,Shlauffu,88,182304349,Priest-Shadow,402051,,,,,,,,16,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8565334,applydebuffstack,Kryxoria,79,182687721,Priest-Holy,402051,,,,,,,,17,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8577829,applydebuffstack,Qquo,70,165177271,Priest-Shadow,402051,,,,,,,,17,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8744926,applydebuffstack,Prohus,78,181500240,Evoker-Augmentation,402051,,,,,,,,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8744926,applydebuffstack,Lefox,87,175528845,Shaman-Restoration,402051,,,,,,,,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8744926,applydebuffstack,Kryxoria,79,182687721,Priest-Holy,402051,,,,,,,,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8757395,applydebuffstack,Qquo,70,165177271,Priest-Shadow,402051,,,,,,,,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
8757395,applydebuffstack,Catherinee,103,180636202,Monk-Windwalker,402051,,,,,,,,18,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9291395,applydebuffstack,Prohus,78,181500240,Evoker-Augmentation,402051,,,,,,,,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9291395,applydebuffstack,Lefox,87,175528845,Shaman-Restoration,402051,,,,,,,,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9291395,applydebuffstack,Kryxoria,79,182687721,Priest-Holy,402051,,,,,,,,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9303973,applydebuffstack,Shlauffu,88,182304349,Priest-Shadow,402051,,,,,,,,19,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9614126,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,20,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9626620,applydebuffstack,Grubi,75,180755381,Rogue-Assassination,402051,,,,,,,,20,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
9626620,applydebuffstack,Bärman,77,181432362,Warrior-Fury,402051,,,,,,,,20,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10102286,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,21,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10114786,applydebuffstack,Pepko,91,178016999,Paladin-Retribution,402051,,,,,,,,21,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10114786,applydebuffstack,Catherinee,103,180636202,Monk-Windwalker,402051,,,,,,,,21,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10552970,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,22,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10924301,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,23,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10924301,applydebuffstack,Pazuzell,73,140773839,DemonHunter-Vengeance,402051,,,,,,,7,23,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
10936729,applydebuffstack,Qquo,70,165177271,Priest-Shadow,402051,,,,,,,,23,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
3028176,applydebuffstack,Pepko,91,178016999,Paladin-Retribution,402051,,,,,,,,5,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
3605091,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,6,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
3617615,applydebuffstack,Lefox,87,175528845,Shaman-Restoration,402051,,,,,,,,6,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
3866148,applydebuffstack,Klejnotnilu,5,182929355,DeathKnight-Blood,402051,,,,,,,,7,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
3878652,applydebuffstack,Owsianko,107,180528313,DeathKnight-Unholy,402051,,,,,,,,7,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
4462739,applydebuffstack,Shlauffu,88,182304349,Priest-Shadow,402051,,,,,,,,8,4cMq2CrTR7KFaPVD,2685,Scalecommander Sarkareth,5,0,False,28/09/23
7638787,applydebuffstack,Arathil,1,150634218,Warlock-Demonology,402051,,,,,,,,13,7h1LjD63q9AQWfcw,2685,Scalecommander Sarkareth,5,0,False,13/09/23
7638787,applydebuffstack,Pepko,218,178016999,Paladin-Retribution,402051,,,,,,,,13,7h1LjD63q9AQWfcw,2685,Scalecommander Sarkareth,5,0,False,13/09/23
